ImageId,Label
1,2
2,2
3,7
4,7
5,2
6,2
7,0
8,2
9,8
10,5
11,5
12,7
13,9
14,0
15,4
16,2
17,5
18,1
19,4
20,0
21,9
22,1
23,1
24,5
25,7
26,4
27,8
28,6
29,4
30,7
31,7
32,5
33,4
34,2
35,8
36,2
37,5
38,5
39,1
40,8
41,7
42,7
43,4
44,9
45,9
46,5
47,8
48,2
49,4
50,7
51,4
52,8
53,4
54,5
55,2
56,5
57,1
58,8
59,5
60,5
61,7
62,1
63,7
64,0
65,8
66,0
67,1
68,9
69,0
70,1
71,8
72,5
73,8
74,8
75,8
76,0
77,2
78,9
79,5
80,5
81,5
82,4
83,1
84,0
85,9
86,2
87,4
88,2
89,4
90,6
91,5
92,8
93,9
94,6
95,1
96,4
97,2
98,8
99,5
100,7
101,0
102,8
103,7
104,2
105,4
106,5
107,0
108,5
109,0
110,8
111,8
112,0
113,9
114,7
115,1
116,7
117,1
118,1
119,5
120,2
121,5
122,7
123,5
124,6
125,7
126,5
127,8
128,7
129,7
130,7
131,2
132,5
133,1
134,0
135,8
136,0
137,5
138,1
139,2
140,0
141,7
142,5
143,4
144,5
145,5
146,8
147,7
148,7
149,2
150,8
151,9
152,5
153,5
154,6
155,5
156,5
157,7
158,5
159,7
160,0
161,2
162,0
163,6
164,5
165,1
166,5
167,7
168,8
169,5
170,0
171,2
172,7
173,8
174,2
175,1
176,5
177,7
178,5
179,1
180,2
181,4
182,4
183,2
184,2
185,2
186,2
187,5
188,1
189,7
190,0
191,2
192,1
193,7
194,0
195,0
196,0
197,4
198,7
199,7
200,9
201,1
202,4
203,0
204,7
205,8
206,0
207,8
208,4
209,7
210,5
211,0
212,4
213,2
214,4
215,2
216,2
217,1
218,8
219,5
220,4
221,2
222,2
223,1
224,8
225,8
226,4
227,7
228,8
229,1
230,0
231,0
232,4
233,9
234,1
235,7
236,2
237,5
238,5
239,8
240,4
241,8
242,9
243,5
244,8
245,5
246,5
247,9
248,8
249,7
250,5
251,9
252,4
253,1
254,7
255,0
256,9
257,2
258,1
259,4
260,5
261,8
262,5
263,2
264,5
265,7
266,0
267,7
