trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",30,0,-96.85337255958163,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.98}",25,0,-161.69002593320081,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.97}",30,0,-246.79174503269942,"{0: 17, 1: 0, 2: 7, 3: 2, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.96}",20,0,-155.8624323102181,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.95}",20,0,-76.54649239606984,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.94}",20,0,-63.63527713854856,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9299999999999999}",20,0,-106.11006363149805,"{0: 13, 1: 4, 2: 0, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9199999999999999}",20,0,-144.30371981693705,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9099999999999999}",20,0,-34.2591134621621,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-38.24872679000484,"{0: 13, 1: 5, 2: 1, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.8899999999999999}",35,0,-202.9503996163464,"{0: 20, 1: 5, 2: 6, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.8799999999999999}",20,0,-76.01003378503275,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8699999999999999}",25,0,-168.47710869442705,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.8599999999999999}",35,0,-96.4578640526828,"{0: 24, 1: 4, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-88.53808510166144,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8399999999999999}",20,15,1.133426811769864,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.8299999999999998}",25,0,-80.86676262017117,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.8199999999999998}",20,0,-71.78966004721468,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.8099999999999998}",20,0,-64.34119762224967,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-111.50996228197495,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.7899999999999998}",20,5,-71.76681879509755,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 2}",1
22,False,"{'a': 0.5, 'e': 0.7799999999999998}",20,0,-43.010182399616085,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.7699999999999998}",20,0,-27.117050249600382,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.7599999999999998}",20,0,-69.52858928467074,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,8,-16.680811427964898,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
26,False,"{'a': 0.5, 'e': 0.7399999999999998}",25,0,-34.894482417822765,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.7299999999999998}",25,0,-62.27369004086171,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.7199999999999998}",20,0,-98.6545963844849,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.7099999999999997}",30,0,-133.18674874249234,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-103.74629289633651,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.6899999999999997}",25,0,-64.69512520709411,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.6799999999999997}",20,4,-17.136971903798635,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.6699999999999997}",30,0,-117.63093796148702,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
34,False,"{'a': 0.5, 'e': 0.6599999999999997}",30,18,-35.960548777381696,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
35,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,5,-31.947194310496332,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.6399999999999997}",25,0,-45.17481943530598,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.6299999999999997}",20,0,-13.321686274687789,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.6199999999999997}",25,0,-32.15915130221031,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.6099999999999997}",20,3,-55.25717196096211,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 1}",1
40,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,4,-67.25092051106898,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 1}",1
41,False,"{'a': 0.5, 'e': 0.5899999999999996}",20,10,-47.815158828383616,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 1}",1
42,False,"{'a': 0.5, 'e': 0.5799999999999996}",20,0,-19.664110833905344,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.5699999999999996}",25,0,-15.401591453354154,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.5599999999999996}",30,0,-102.72446662549784,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-50.60550846929684,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.5399999999999996}",20,0,-40.137514096492865,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.5299999999999996}",35,8,-49.595252540825044,"{0: 22, 1: 2, 2: 1, 3: 1, 4: 1}",1
48,False,"{'a': 0.5, 'e': 0.5199999999999996}",25,14,16.333315620938645,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.5099999999999996}",25,0,-33.43246186093471,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.49999999999999956}",35,20,-85.34792040415269,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 2}",1
51,False,"{'a': 0.5, 'e': 0.48999999999999955}",20,0,-36.21630472836904,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.47999999999999954}",20,12,1.0436759069561674,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.46999999999999953}",20,6,22.158376359209,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.4599999999999995}",25,0,-101.40190566365379,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
55,False,"{'a': 0.5, 'e': 0.4499999999999995}",25,3,-19.597700754165118,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.4399999999999995}",25,13,-4.368448600840881,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.4299999999999995}",20,13,3.1885600499397997,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.4199999999999995}",20,0,7.374491779283164,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.4099999999999995}",20,11,3.655787669283896,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.39999999999999947}",20,14,9.128060258426029,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.38999999999999946}",25,0,-46.11672659062843,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.37999999999999945}",35,22,-1.6150282924777646,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.36999999999999944}",25,11,-18.569524914676766,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
64,False,"{'a': 0.5, 'e': 0.35999999999999943}",25,12,9.673608232240886,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.3499999999999994}",25,0,-26.745191896317724,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.3399999999999994}",30,20,14.640991210816276,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.3299999999999994}",25,3,-10.314387243374009,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.3199999999999994}",25,10,-36.323168145788294,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 1}",1
69,False,"{'a': 0.5, 'e': 0.3099999999999994}",20,0,6.092797973637818,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.2999999999999994}",20,8,13.232342755840149,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.28999999999999937}",30,16,-13.810658225225902,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
72,False,"{'a': 0.5, 'e': 0.27999999999999936}",25,14,-29.837643122374814,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
73,False,"{'a': 0.5, 'e': 0.26999999999999935}",30,16,7.9084329783987535,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.25999999999999934}",20,12,2.8607380153227027,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.24999999999999933}",30,22,1.9064011340760099,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.23999999999999932}",25,7,27.54378388640936,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.22999999999999932}",20,11,16.485675259979597,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.2199999999999993}",30,15,-21.627827509964835,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
79,False,"{'a': 0.5, 'e': 0.2099999999999993}",25,13,4.655955541969414,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.1999999999999993}",25,12,21.739672767122673,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.18999999999999928}",20,14,4.4760322444393745,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.17999999999999927}",20,10,10.606416094094843,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.16999999999999926}",25,11,11.487525257052795,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.15999999999999925}",20,14,15.693578325748371,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.14999999999999925}",20,12,15.48034418457879,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.13999999999999924}",25,9,-12.34384034886001,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
87,False,"{'a': 0.5, 'e': 0.12999999999999923}",25,14,-3.4478510441991754,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.11999999999999923}",25,18,6.957952505449651,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.10999999999999924}",25,13,18.989385789929692,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.09999999999999924}",25,11,20.631064925877737,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.08999999999999925}",35,23,14.29591225734616,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.07999999999999925}",25,15,18.945739345586823,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.06999999999999926}",20,16,9.343009272806148,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.059999999999999255}",20,7,23.685963833967744,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.04999999999999925}",25,18,13.99264989401308,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.5, 'e': 0.03999999999999925}",20,10,17.345328359190457,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.5, 'e': 0.02999999999999925}",20,2,29.16230056578755,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.5, 'e': 0.019999999999999248}",20,13,12.83363446923106,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': 0.009999999999999247}",30,12,29.318090460356522,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
