trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.98}",25,0,-70.93664723763578,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9603999999999999}",30,0,-243.32094777107764,"{0: 14, 1: 4, 2: 8, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.9411919999999999}",25,0,-139.46028385980082,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9223681599999999}",20,0,-137.89553795374306,"{0: 12, 1: 4, 2: 1, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9039207967999998}",25,0,-103.67269599455466,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.8858423808639998}",25,0,-90.06078469115948,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.8681255332467198}",30,0,-205.09979039798094,"{0: 18, 1: 3, 2: 5, 3: 0, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.8507630225817854}",30,0,-134.53628582463915,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.8337477621301497}",25,0,-64.09209606974538,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.8170728068875467}",25,0,-98.48227532450878,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8007313507497957}",20,0,-165.19216028117415,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.7847167237347998}",20,0,-72.69106779529601,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.7690223892601038}",20,2,-14.807635968828805,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.7536419414749017}",20,0,-72.58484055692706,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.7385691026454037}",30,0,-205.40585830129135,"{0: 18, 1: 3, 2: 5, 3: 0, 4: 4}",0
16,False,"{'a': 0.5, 'e': 0.7237977205924956}",25,0,-72.37068208176292,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.7093217661806457}",30,0,-131.02323935882032,"{0: 21, 1: 4, 2: 2, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.6951353308570327}",30,20,5.634140919895407,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.6812326242398921}",20,0,-20.233370148098263,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.6676079717550942}",20,0,-116.1172315010554,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.6542558123199923}",25,6,-61.87860228952385,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 1}",1
22,False,"{'a': 0.5, 'e': 0.6411706960735924}",25,0,12.045839467184454,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.6283472821521205}",20,0,6.362498790206019,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.6157803365090782}",35,0,-145.9064376634939,"{0: 26, 1: 1, 2: 4, 3: 1, 4: 3}",0
25,False,"{'a': 0.5, 'e': 0.6034647297788965}",20,0,-64.65968691225427,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.5913954351833186}",20,0,-69.06737460085289,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.5795675264796523}",35,14,-15.77525038296404,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.5679761759500592}",20,3,-25.418151129845725,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.5566166524310581}",20,10,-31.536666805120685,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
30,False,"{'a': 0.5, 'e': 0.5454843193824369}",20,16,10.807402504588833,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.5345746329947881}",25,12,11.80048738665845,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.5238831403348924}",25,17,-50.21398972055855,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 1}",1
33,False,"{'a': 0.5, 'e': 0.5134054775281945}",25,12,8.089949099605564,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.5031373679776306}",20,0,-34.02924457160716,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.493074620618078}",20,0,6.162657479292101,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.48321312820571644}",25,15,13.581605619203057,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.4735488656416021}",20,0,29.057836939412034,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
